Пакет,Уязвимость,Оперативное обновление
apache2,CVE-2022-30556,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
apache2,CVE-2022-31813,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
apache2,CVE-2022-36760,БЮЛЛЕТЕНЬ №2023-0303SE17MD (1.7.3.UU.2)
apache2,CVE-2022-37436,БЮЛЛЕТЕНЬ №2023-0303SE17MD (1.7.3.UU.2)
apache2,CVE-2023-25690,БЮЛЛЕТЕНЬ №2023-0426SE17 (1.7.4)
apache2,CVE-2023-27522,БЮЛЛЕТЕНЬ №2023-0426SE17 (1.7.4)
apache2,CVE-2023-31122,БЮЛЛЕТЕНЬ №2024-0212SE17 (1.7.5.UU.1)
apache2,CVE-2023-43622,БЮЛЛЕТЕНЬ №2024-0212SE17 (1.7.5.UU.1)
apache2,CVE-2023-45802,БЮЛЛЕТЕНЬ №2024-0212SE17 (1.7.5.UU.1)
apr-util,CVE-2022-25147,БЮЛЛЕТЕНЬ №2023-0303SE17MD (1.7.3.UU.2)
aspell,CVE-2019-17544,БЮЛЛЕТЕНЬ №2021-1126SE17 (1.7.1)
aspell,CVE-2019-20433,БЮЛЛЕТЕНЬ №2023-1023SE17 (1.7.5)
aspell,CVE-2019-25051,БЮЛЛЕТЕНЬ №2021-1126SE17 (1.7.1)
atftp,CVE-2020-6097,БЮЛЛЕТЕНЬ №2021-1126SE17 (1.7.1)
atftp,CVE-2021-41054,БЮЛЛЕТЕНЬ №2021-1126SE17 (1.7.1)
atftp,CVE-2021-46671,БЮЛЛЕТЕНЬ №2022-0819SE17 (1.7.2)
avahi,CVE-2017-6519,БЮЛЛЕТЕНЬ №2022-0819SE17 (1.7.2)
avahi,CVE-2021-3468,БЮЛЛЕТЕНЬ №2022-0819SE17 (1.7.2)
avahi,CVE-2023-1981,БЮЛЛЕТЕНЬ №2023-0630SE17MD (1.7.4.UU.1)
beep,CVE-2018-1000532,БЮЛЛЕТЕНЬ №2021-1126SE17 (1.7.1)
